info_manteqa,minority_rep,idp_now,manteqa_leadership,com_group_ag,com_group_wash,com_group_edu,com_group_health,com_group_finance,com_group_women,com_group_youth,com_group_civ_soc,former_sector,new_sector,job_needed,unemployed,financial_services,women_outside,women_barriers,women_business,women_challenge,financial_services_equal,work_migration,migrant_work,migrant_jobs,production_non_ag,export_non_ag,import_non_ag,trend_non_ag,export_ag,import_ag,trend_ag,production_livestock,export_livestock,import_livestock,trend_livestock,markets_present,markets_other_manteqa,market_access,markets_marginal_access,trade_markets_in,trade_markets_in_access,voc_women,voc_men,public_transit,edu_access,health_access,water_knowledge,water_repair,water_tools,water_staff,water_fee,attendance_boys,attendance_girls,edu_marginal_access,health_access_equal,enough_water,hc_remain_perc,nomads,idp_perc,market_barrier,market_access_why,trade_markets_in_access_why,goods_access,market_seasonality,market_goods,men_iliterate,men_primary,men_secondary,women_iliterate,women_primary,women_secondary,transit_sufficient,public_transit_challenge_type,drinking_water,cleaning_water,enough_water_why,water_mgmt,edu_access_why,health_access_why,edu_teachers,edu_books,edu_training,edu_supplies,edu_sanitation,attendance_boys_perc,attendance_boys_why,attendance_girls_perc,attendance_girls_why,health_staff,health_training,health_tools,health_medication,health_water,water_access_equal,refugee_return_now,manteqa_leadership_type,minority_rep_type,com_group_ag_type,com_group_wash_type,com_group_edu_type,com_group_health_type,com_group_finance_type,com_group_civ_soc_type,com_group_civ_soc_sup,info_language,econ_sector,former_sector_type,new_sector_type,job_needed_sector,unemployed_why,financial_services_type,women_barriers_type,women_business_sector,women_challenge_type,financial_services_women,work_migration_who,production_non_ag_type,export_non_ag_type,import_non_ag_type,trend_non_ag_type,production_ag,production_ag_type,export_ag_type,import_ag_type,trend_ag_type,production_animals,production_livestock_type,export_livestock_type,import_livestock_type,trend_livestock_type,markets_marginal_access_who,goods_access_why,good_types,voc_women_avail,voc_men_avail,voc_train_who,voc_women_need,voc_men_need,edu_type,edu_infrastructure,health_services,edu_source,water_access_marginal,edu_marginal_access_who,health_access_marginal,school_fee_cost,textbook_cost,uniforms_cost,health_cost,transit_cost,water_fee_amt
ala_sha,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,NA,no,yes,no,yes,yes,NA,yes,NA,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,NA,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,none,no,NA,too_far,NA,dangerous,no,no,no,less_half,less_half,less_half,less_half,less_half,less_half,yes,not_enough_vehicles,handpump,handpump,"drought, too_far",no_mgmt,too_hot,NA,yes,yes,yes,yes,yes,less_half,no_money,less_half,girls_cant_attend,yes,yes,yes,yes,yes,no,no,arbab mullah quarya_dar shura,minorities youth,,water_user_assoc,,chw_m chw_f widwife shura,village_savings community_based_savings,,,dari uzbek,agriculture handicrafts transport sales social_services,,agriculture communications sales services social_services,manufacturing transport social_services,too_few_jobs,microfinance village_savings community_savings,,,not_allowed,microfinance village_savings community_savings sarafi_hawala,young_men adult_men,sheep_skin wood carpets handicrafts,,wood carpets handicrafts sheep_skin,,no yes,wheat grain cotton fruits roots vegetables beans nuts,wheat grain fruits roots,wheat grain rice cotton fruits roots vegetables beans tobacco nuts,,cows sheep goats chickens,hh_consumption milk_eggs meat_sold labour,,hh_consumption milk_eggs meat_sold labour fertilizer,,women ethnic_discrimination disabled,items_expensive,vegetables grain fuel livestock textiles jewlery tools,,,,agriculture business artisanship cosmetics healthcare it,agriculture business it teacher artisanship language religious,government madrasa,building,outpatient inpatient tb malaria,national_gov,women disabled,women disabled,women,NA,NA,NA,0,60,NA
almar,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,NA,no,no,less_half,yes,less_half,NA,NA,NA,no,yes,yes,less_half,less_half,less_half,less_half,less_half,less_half,yes,bad_road,handpump,water_pool,overwhelmed,mirab,no_resources,NA,yes,yes,yes,yes,no,more_half,no_money,more_half,no_money,yes,yes,no,no,yes,no,yes,arbab quarya_dar shura,youth,ag_coop farmer_group breeder_coop,water_user_group irrigation water_sanit water_user_assoc,,chw_m chw_f shura,community_based_savings women_BA other,,,uzbek,agriculture handicrafts manufacturing sales transport,sales services transport handicrafts manufacturing,manufacturing sales services agriculture handicrafts communications public_administration,communications public_administration social_services services sales handicrafts transport manufacturing,too_few_jobs no_credit,microfinance community_savings wba other,women_danger,,not_allowed,none community_savings,young_men adult_men,wood carpets handicrafts sheep_skin other,wood carpets handicrafts sheep_skin,wood carpets handicrafts sheep_skin silk,carpets handicrafts sheep_skin silk,yes,wheat grain nuts fruits,wheat grain nuts fruits,wheat rice cotton beans nuts grain fruits vegetables,tobacco opium cotton,cows sheep goats chickens,milk_eggs meat_sold labour hh_consumption,meat_sold labour milk_eggs hh_consumption,milk_eggs meat_sold fertilizer hh_consumption labour,,women,no_means_payment,,artisanship religious,religious language artisanship other agriculture,government ingo other,artisanship cosmetics healthcare none it language business teacher religious other agriculture,business it teacher language none agriculture religious artisanship cosmetics healthcare,government madrasa,home building,outpatient tb malaria dental,national_gov local_gov,aaa bbb ccc ddd,,,NA,NA,NA,137.5,NA,NA
andkhoy,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,NA,no,yes,no,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,no,"less_half, none",no,less_half,NA,NA,NA,yes,yes,yes,less_half,less_half,less_half,less_half,less_half,less_half,yes,insecurity,borehole,borehole,drought,mirab,NA,insecurity,No,no,no,No,no,"less_half, more_half",insecurity,less_half,insecurity,no,no,no,no,no,no,yes no,arbab shura quarya_dar,youth women,breeder_coop value_chain,0 water_user_assoc irrigation,school_mgmt_committees pta,chw_f widwife other shura,village_savings sarafi_hawala community_based_savings community_savings,socio_cultural health education womens_rights agriculture wash,none youth women minorities,uzbek dari turkmen,agriculture handicrafts communications manufacturing services,handicrafts sales services agriculture manufacturing,communications transport handicrafts sales services agriculture manufacturing,manufacturing sales services agriculture handicrafts communications transport public_administration social_services,too_few_jobs no_credit no_skills,microfinance village_savings sarafi_hawala community_savings,,,woman_punished women_punished not_allowed no_money no_skills,microfinance none village_savings community_savings,young_men older_boys adult_men,carpets handicrafts sheep_skin silk,carpets handicrafts sheep_skin silk,silk wood handicrafts,carpets sheep_skin silk other,yes no,wheat grain fruits roots vegetables cotton nuts,wheat grain roots,rice cotton fruits roots vegetables beans nuts wheat herbs grain tobacco,fruits roots cotton tobacco beans,cows sheep goats chickens,milk_eggs meat_sold labour hh_consumption fertilizer,milk_eggs meat_sold labour hh_consumption,milk_eggs meat_sold fertilizer labour hh_consumption,,women men ethnic_discrimination disabled,items_expensive not_available,,artisanship,agriculture artisanship,ingo cso,it artisanship healthcare cosmetics teacher none language religious,artisanship cosmetics healthcare it agriculture business religious language teacher,government madrasa,building,inpatient outpatient surgery tb malaria hiv dental,local_gov national_gov nngo,women,women men ethnic_discrimination disabled,,0,1950,NA,NA,115,NA
aqcha,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,less_half,no,less_half,NA,NA,NA,yes,yes,yes,half,half,less_half,less_half,less_half,less_half,yes,insecurity,borehole,borehole,drought,committee,NA,NA,yes,no,yes,no,no,less_half,no_money,less_half,no_money,yes,yes,no,no,yes,no,no yes,arbab quarya_dar shura mullah mirab malim,idps youth women minorities,ag_coop farmer_group value_chain,water_user_assoc water_user_group irrigation,pta school_mgmt_committees,chw_m chw_f widwife shura,village_savings community_based_savings sarafi_hawala savings_credit microfinance,socio_cultural womens_rights health education wash agriculture development,youth women minorities,pashto uzbek dari turkmen arabic,agriculture handicrafts manufacturing sales transport,handicrafts communications services agriculture manufacturing public_administration other,communications services transport public_administration social_services manufacturing,communications services social_services public_administration transport agriculture handicrafts manufacturing,too_few_jobs,village_savings community_savings sarafi_hawala savings_credit microfinance,few_jobs women_danger,handicrafts,no_money women_punished not_allowed can_not_travel,village_savings community_savings sarafi_hawala microfinance,older_boys young_men young_women adult_men adult_women,carpets handicrafts sheep_skin wood,carpets handicrafts sheep_skin silk,wood carpets sheep_skin silk handicrafts other,handicrafts sheep_skin silk carpets,yes,wheat grain fruits roots cotton tobacco nuts vegetables opium beans,wheat grain opium vegetables nuts fruits roots,wheat grain rice cotton nuts fruits vegetables beans tobacco herbs roots,cotton roots nuts tobacco,cows sheep goats chickens,milk_eggs meat_sold labour hh_consumption,milk_eggs meat_sold labour,milk_eggs meat_sold labour fertilizer hh_consumption,hh_consumption labour,women disabled,items_expensive,vegetables fuel livestock,artisanship cosmetics healthcare language religious teacher agriculture,agriculture language business teacher religious none,government ingo vocational_school int_donors cso training_centre,agriculture business it artisanship cosmetics religious healthcare teacher language,agriculture business it teacher language artisanship religious healthcare,government madrasa cbe,tent building,outpatient inpatient surgery tb malaria dental hiv eyes,national_gov local_gov ingo,,women men,women disabled,0,1700,NA,322.72727272727275,338.1818181818182,NA
astana_baba,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,NA,no,yes,no,yes,no,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,yes,NA,NA,NA,yes,no,less_half,no,less_half,NA,NA,too_expensive,no,yes,yes,less_half,less_half,less_half,less_half,less_half,none,no,cost_too_high,kandaz,kandaz,overwhelmed,no_mgmt,insecurity,no_staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,arbab malim shura quarya_dar,youth,,,,,,,,dari pashto uzbek,agriculture handicrafts transport manufacturing sales services,,communications services social_services,communications services social_services agriculture handicrafts,no_education too_few_jobs,,,,not_allowed,none,young_men adult_men older_girls,carpets sheep_skin handicrafts,carpets sheep_skin,wood handicrafts carpets silk,handicrafts sheep_skin,yes no,wheat grain herbs beans,wheat,wheat rice cotton fruits roots vegetables beans grain nuts,other,cows sheep goats chickens,milk_eggs hh_consumption meat_sold labour,milk_eggs meat_sold,milk_eggs meat_sold fertilizer hh_consumption labour,milk_eggs hh_consumption,women ethnic_discrimination,not_available items_expensive,vegetables other,,,,it artisanship cosmetics healthcare business teacher agriculture religious,agriculture business it cosmetics teacher artisanship healthcare religious,,,other outpatient,,women ethnic_discrimination,,women disabled,NA,NA,NA,NA,NA,NA
atraf-e-balkh,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,NA,no,NA,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,half,yes,less_half,market_destroyed,NA,"dangerous, too_expensive",no,yes,yes,less_half,less_half,less_half,less_half,less_half,less_half,yes,insecurity,handpump,handpump,drought,mirab,insecurity,insecurity,yes,no,no,no,no,less_half,no_money,less_half,no_money,no,No,No,No,no,no,no yes,arbab shura malim mirab mullah chakbashi quarya_dar other,women youth idps minorities,,water_user_assoc water_user_group irrigation water_sanit,self_help pta school_mgmt_committees,shura chw_f widwife chw_m,women_BA community_based_savings,socio_cultural development health wash education agriculture womens_rights,youth women minorities,dari pashto uzbek arabic turkmen,agriculture sales handicrafts public_administration transport services,sales,,agriculture handicrafts communications sales services social_services,other too_few_jobs,wba community_savings,no_education few_jobs,,no_money women_punished,none wba community_savings,young_men older_boys adult_men,,,wood carpets handicrafts,,yes no,wheat cotton grain vegetables nuts tobacco fruits roots beans,wheat cotton grain roots,rice fruits roots beans wheat grain vegetables nuts,fruits vegetables,cows sheep goats chickens,hh_consumption milk_eggs meat_sold labour fertilizer,milk_eggs hh_consumption meat_sold,fertilizer hh_consumption milk_eggs labour meat_sold,hh_consumption milk_eggs,,items_expensive,,,,,artisanship cosmetics healthcare teacher language religious none agriculture business it,agriculture business it none artisanship cosmetics language healthcare religious teacher,government madrasa,building tent home,outpatient,mosque national_gov,disabled,women men disabled,women disabled,NA,NA,NA,NA,NA,NA
aybak,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none,no,less_half,too_far,NA,dangerous,yes,yes,yes,less_half,less_half,less_half,less_half,less_half,less_half,yes,not_enough_vehicles,spring,spring,drought,mirab,insecurity,insecurity,yes,yes,yes,yes,yes,less_half,no_money,less_half,no_money,yes,yes,yes,yes,yes,no,no yes,arbab mullah shura chakbashi malim quarya_dar,minorities youth women,ag_coop breeder_coop farmer_group value_chain,water_user_assoc water_user_group irrigation water_sanit,pta self_help school_mgmt_committees,chw_m chw_f widwife shura,women_BA community_based_savings sarafi_hawala village_savings savings_credit,socio_cultural development health wash education agriculture shelter_nfi legal womens_rights,youth women minorities,dari pashto uzbek arabic,agriculture handicrafts transport sales social_services services,,sales,communications sales services social_services manufacturing agriculture handicrafts,too_few_jobs,wba community_savings sarafi_hawala village_savings microfinance savings_credit,few_jobs,handicrafts agriculture public_administration services sales,no_money can_not_travel not_allowed,none wba sarafi_hawala community_savings microfinance village_savings,older_boys older_girls young_men adult_men,wood carpets handicrafts,handicrafts wood,wood carpets handicrafts sheep_skin silk,carpets,no yes,wheat grain tobacco fruits herbs cotton roots vegetables beans nuts rice,wheat grain fruits cotton nuts roots vegetables,wheat grain rice cotton tobacco nuts fruits roots vegetables beans herbs,cotton,cows sheep goats chickens,hh_consumption milk_eggs meat_sold labour,hh_consumption milk_eggs labour meat_sold,hh_consumption labour milk_eggs meat_sold fertilizer,,,,,it artisanship cosmetics healthcare teacher language,agriculture it artisanship cosmetics teacher language business,government ingo int_donors training_centre vocational_school cso other,agriculture none artisanship cosmetics it healthcare business religious teacher,agriculture none business it teacher religious artisanship language,government no_school cbe madrasa,building,outpatient inpatient surgery tb malaria eyes,local_gov national_gov,,women,women,NA,NA,NA,NA,NA,NA
baba_yadgar,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,NA,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,no,none,no,less_half,too_far,NA,too_expensive,yes,yes,yes,half,half,"half, less_half",less_half,half,less_half,yes,cost_too_high,borehole,handpump,drought,mirab,NA,no_staff,yes,no,yes,yes,no,less_half,no_money,less_half,no_money,No,No,No,No,yes,no,yes no,arbab mullah malim shura mirab,women minorities youth,ag_coop breeder_coop farmer_group other,water_sanit water_user_assoc water_user_group,self_help pta school_mgmt_committees,widwife,microfinance village_savings savings_credit wba sarafi_hawala community_based_savings women_BA,socio_cultural wash education agriculture legal womens_rights,youth women minorities,dari pashto uzbek turkmen,agriculture handicrafts transport sales other,manufacturing,manufacturing agriculture handicrafts services,communications services social_services handicrafts public_administration other agriculture sales,too_few_jobs,microfinance village_savings savings_credit wba sarafi_hawala community_savings,few_jobs no_education not_allowed,,no_money women_punished no_skills can_not_travel not_allowed,microfinance village_savings savings_credit wba sarafi_hawala none community_savings,young_men adult_men older_boys,wood carpets handicrafts,carpets handicrafts,wood carpets handicrafts silk sheep_skin,,yes no,cotton fruits roots vegetables wheat grain beans herbs rice tobacco nuts opium,cotton fruits roots vegetables wheat grain rice tobacco nuts beans herbs,wheat grain rice cotton tobacco nuts fruits roots vegetables beans herbs,wheat grain fruits,cows sheep goats chickens,hh_consumption milk_eggs meat_sold fertilizer labour,hh_consumption milk_eggs meat_sold fertilizer,hh_consumption milk_eggs meat_sold fertilizer labour,,,items_expensive,livestock vegetables grain,artisanship language agriculture,agriculture,ingo int_donors cso government,agriculture business it artisanship cosmetics healthcare teacher language religious,agriculture business it artisanship cosmetics healthcare teacher language religious,government madrasa cbe,building tent,outpatient surgery eyes inpatient,national_gov local mosque ingo,disabled women men,women men disabled,,0,1125,1800,NA,NA,NA
bandar,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,NA,no,yes,no,yes,yes,NA,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,NA,no,no,less_half,yes,less_half,too_far,NA,dangerous,"no, yes",yes,no,less_half,less_half,less_half,less_half,less_half,less_half,"no, yes",cost_too_high,open_water,open_water,closed,no_mgmt,insecurity,NA,No,no,no,no,no,less_half,no_money,more_half,"insecurity, no_money",no,no,no,no,yes,no,yes no,shura arbab mullah,minorities,,,pta school_mgmt_committees self_help,chw_f widwife,,other socio_cultural,none women,dari,agriculture handicrafts sales communications transport,,,communications services social_services sales public_administration manufacturing,no_skills no_land too_few_jobs no_credit no_education,,,,not_allowed no_skills,none,young_men adult_men,wood handicrafts carpets sheep_skin,wood handicrafts,carpets handicrafts silk sheep_skin,carpets,yes,wheat grain tobacco nuts fruits roots vegetables beans opium herbs,nuts fruits,wheat rice cotton tobacco fruits beans,,cows sheep goats chickens,hh_consumption meat_sold labour milk_eggs,meat_sold labour,meat_sold hh_consumption fertilizer,,,not_available items_expensive,vegetables fuel grain jewlery livestock tobacco,artisanship healthcare religious,agriculture business religious,training_centre cso,business teacher healthcare artisanship cosmetics agriculture it language religious,it teacher business agriculture artisanship healthcare language religious cosmetics,government madrasa,building,outpatient,local_gov national_gov,,,,NA,NA,NA,107.14285714285714,NA,NA
char_sooq,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,NA,yes,NA,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,NA,NA,NA,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,NA,no,less_half,no,less_half,too_far,NA,"too_expensive, too_far",NA,NA,NA,half,less_half,less_half,half,less_half,less_half,yes,cost_too_high,borehole,open_water,drought,mirab,NA,disaster,yes,yes,yes,yes,no,less_half,no_money,half,"girls_cant_attend, girls_marry",NA,NA,NA,NA,NA,no,yes no,arbab quarya_dar shura,women youth,,,,widwife chw_f,community_based_savings village_savings,socio_cultural,youth women,dari uzbek,agriculture handicrafts manufacturing,handicrafts,handicrafts,sales agriculture handicrafts manufacturing,,community_savings village_savings,women_danger few_jobs,,no_skills women_punished no_knowledge,community_savings village_savings,older_boys adult_women young_men adult_men,handicrafts,,wood carpets,wood carpets,yes,wheat nuts fruits other cotton grain vegetables,wheat nuts fruits,wheat cotton fruits beans rice vegetables nuts,,cows sheep chickens goats,hh_consumption milk_eggs meat_sold,milk_eggs hh_consumption,milk_eggs meat_sold hh_consumption,,,,,,,,artisanship agriculture business cosmetics healthcare language,agriculture business artisanship teacher,government madrasa,building,,national_gov nngo,,women disabled ethnic_discrimination,,0,430,NA,NA,23,NA
